detailUrl,title
http://ndltd.ncl.edu.tw/handle/88911220914843589701,量販店之市場地理研究-以台北地區為例
http://ndltd.ncl.edu.tw/handle/d7g7bv,《淮南子．墬形》的地理觀
http://ndltd.ncl.edu.tw/handle/45656744624251140784,高中地理實察教學實踐之研究--以高一地理為例
http://ndltd.ncl.edu.tw/handle/44603187300893163437,地理資料輔助市地重劃區位決策之應用
http://ndltd.ncl.edu.tw/handle/13019838211804355875,《大地》地理雜誌的東南亞印象
http://ndltd.ncl.edu.tw/handle/19906109205482312519,地震救災即時路徑選擇之地理資訊系統的建立
http://ndltd.ncl.edu.tw/handle/42692331962395993132,地方議會e化管理研究
http://ndltd.ncl.edu.tw/handle/34622856476827167654,李光地與清初理學
http://ndltd.ncl.edu.tw/handle/54538770657748191070,Off-site / 異地
http://ndltd.ncl.edu.tw/handle/82021521557866540352,埔里地區的權力結構與治理能力
http://ndltd.ncl.edu.tw/handle/16547363210959629740,3-D Subsurface Structure in HengChun Area / 恆春半島附近三維地下構造
http://ndltd.ncl.edu.tw/handle/11516683666747380001,商周南土政治地理結構研究
http://ndltd.ncl.edu.tw/handle/5x9mg2,Urban Climate Map in Taiwan / 臺灣都市氣候地圖之研究
http://ndltd.ncl.edu.tw/handle/82932605010968773445,東螺溪自行車道溪湖段及西溪湖地區鄉土地理實察地圖設計
http://ndltd.ncl.edu.tw/handle/90043374562479147602,由占用處理與防制論國有土地管理政策
http://ndltd.ncl.edu.tw/handle/78958404117477442307,國有土地管理政策的治理模式分析-以國有耕地放租問題為例
http://ndltd.ncl.edu.tw/handle/88547735703334974344,應用鄉土地理資源之地理科教學模式設計─以南投國中為研究個案
http://ndltd.ncl.edu.tw/handle/23039824452010308004,花蓮和平地質區延性構造的地球物理探勘
http://ndltd.ncl.edu.tw/handle/01171580752858271485,全球地方化治理： 恆春鎮之地方發展策略
http://ndltd.ncl.edu.tw/handle/60877934378058809604,none / 結合地理資訊系統協助易肇事地點研判
http://ndltd.ncl.edu.tw/handle/59599851034954836666,國有土地清理責任之探討
http://ndltd.ncl.edu.tw/handle/72702702470983264111,高雄地區國小學童理財認知之評量
http://ndltd.ncl.edu.tw/handle/cvkqva,軟弱地盤橫向壓密理論之研究
http://ndltd.ncl.edu.tw/handle/13994400582309872449,創新與空間－產研地理鄰近性之探討
http://ndltd.ncl.edu.tw/handle/31536550457299050613,高中地理科教材生活化實踐之研究
http://ndltd.ncl.edu.tw/handle/79412891100540229921,臺灣地區寺廟管理與建築問題之探討
http://ndltd.ncl.edu.tw/handle/61588056847972144228,戰後初期台灣土地的接收與處理(1945-1952)
http://ndltd.ncl.edu.tw/handle/85278603628870686936,大陸地區配偶來臺管理政策研究
http://ndltd.ncl.edu.tw/handle/35690998176050295647,農地集團化利用治理模式之比較分析
http://ndltd.ncl.edu.tw/handle/54144954895265297345,二十一世紀地方治理模式之思辨
http://ndltd.ncl.edu.tw/handle/35276722137001205468,土地管理觀點下之地籍登記制度研究-以地籍清理條例之規範為討論核心
http://ndltd.ncl.edu.tw/handle/19497424971928564961,桃園縣虎頭山地區高中地理實察課程教學資源的分析與應用---以一年級通論地理課程為例
http://ndltd.ncl.edu.tw/handle/08665762927377314184,委託辦理地籍圖重測制度之研究
http://ndltd.ncl.edu.tw/handle/70482002110764716131,高雄市地理習作使用狀況調查研究
http://ndltd.ncl.edu.tw/handle/97934876557653640867,福建省武平縣地理語言學研究
http://ndltd.ncl.edu.tw/handle/38406882271138473778,河川水文、水理與棲地生態相關之研究
http://ndltd.ncl.edu.tw/handle/08226598890736105315,高中地理科批判思考教學之研究
http://ndltd.ncl.edu.tw/handle/27562475103448908072,溫泉抽水引致地層力學行為理論解析
http://ndltd.ncl.edu.tw/handle/87670772767147680151,動物的道德地位──論辛格的動物倫理
http://ndltd.ncl.edu.tw/handle/09864945733490779378,日本地理標示保護制度之研究
http://ndltd.ncl.edu.tw/handle/94021451484971810554,從「在地」到「台灣」：論「本格復興」前台灣推理小說的地方想像與建構
http://ndltd.ncl.edu.tw/handle/23433861549627988072,公共工程與地方政治--從國道建設談工程單位對地方抗爭的管理
http://ndltd.ncl.edu.tw/handle/83061170437695643129,地方政府辦理非都市土地分區變更審議作業之研究
http://ndltd.ncl.edu.tw/handle/66045099428578675535,none / 台灣地區地震的碎形維度與b值物理特性研究
